Product,Og Price,Curr Price,Discount,Link,Stock
 MISSHA Men's Cure Grooming Sense Lip Balm 3.7g,10.66,2.35,78,https://jolse.com/category/lipcare/4745/?page=1/product/missha-mens-cure-grooming-sense-lip-balm-37g/28147/category/4745/display/1/,1
 FARMSTAY Real Aloe Vera Essential Lip Balm 10ml,5.0,1.3,74,https://jolse.com/category/lipcare/4745/?page=2/product/farmstay-real-aloe-vera-essential-lip-balm-10ml/65687/category/4745/display/1/,0
 FARMSTAY Real Coconut Essential Lip Balm 10ml,5.0,1.3,74,https://jolse.com/category/lipcare/4745/?page=2/product/farmstay-real-coconut-essential-lip-balm-10ml/65686/category/4745/display/1/,0
 MISSHA Superfood Avocado Lip Balm 5.2g,9.66,2.51,74,https://jolse.com/category/lipcare/4745/?page=1/product/missha-superfood-avocado-lip-balm-52g/17146/category/4745/display/1/,1
 Mediheal Pantenolips Sleeping Mask 10ml,9.66,11.25,74,https://jolse.com/category/lipcare/4745/?page=1/product/mediheal-pantenolips-sleeping-mask-10ml/66504/category/4745/display/1/,1
 A'PIEU Honey & Milk Lip Oil 5g,11.0,2.99,73,https://jolse.com/category/lipcare/4745/?page=1/product/apieu-honey-milk-lip-oil-5g/13087/category/4745/display/1/,1
 ma:nyo Our Vegan Lip Balm 3.7G,11.4,3.42,70,https://jolse.com/category/lipcare/4745/?page=1/product/manyo-our-vegan-lip-balm-37g/40683/category/4745/display/1/,1
 Mediheal Labocare Pantenolips Healbalm 10ml,11.4,11.25,70,https://jolse.com/category/lipcare/4745/?page=1/product/mediheal-labocare-pantenolips-healbalm-10ml/66507/category/4745/display/1/,1
 ma:nyo Our Vegan Color Lip Balm Green Pink 3.7G,12.6,3.78,70,https://jolse.com/category/lipcare/4745/?page=1/product/manyo-our-vegan-color-lip-balm-green-pink-37g/40680/category/4745/display/1/,1
 MISSHA Superfood Honey Lip Oil 5.2g,10.66,3.2,70,https://jolse.com/category/lipcare/4745/?page=1/product/missha-superfood-honey-lip-oil-52g/17141/category/4745/display/1/,1
 Unleashia Glacier Vegan Lip Balm 3.3g,15.0,5.99,60,https://jolse.com/category/lipcare/4745/?page=1/product/unleashia-glacier-vegan-lip-balm-33g/56373/category/4745/display/1/,1
 Hersteller Nearby Recharging Lip Balm 3.8g,13.0,5.49,58,https://jolse.com/category/lipcare/4745/?page=1/product/hersteller-nearby-recharging-lip-balm-38g/73280/category/4745/display/1/,1
 ETUDE Glaze Plump Gloss 4g,13.0,5.99,54,https://jolse.com/category/lipcare/4745/?page=1/product/etude-glaze-plump-gloss-4g/74214/category/4745/display/1/,1
 MISSHA Superfood Berry Lip Oil 5.2g,10.66,4.99,53,https://jolse.com/category/lipcare/4745/?page=1/product/missha-superfood-berry-lip-oil-52g/17144/category/4745/display/1/,1
 ♦️2+1♦️ A'PIEU Honey & Milk Lip Oil 5g,22.0,11.09,50,https://jolse.com/category/lipcare/4745/?page=1/product/️21️-apieu-honey-milk-lip-oil-5g/74162/category/4745/display/1/,1
 FRUDIA Blueberry Hydrating Honey Lip Balm 10g,8.3,7.88,5,https://jolse.com/category/lipcare/4745/?page=1/product/frudia-blueberry-hydrating-honey-lip-balm-10g/55751/category/4745/display/1/,1
 FRUDIA Pomegranate Honey 3in1 Lip Balm 10g,8.3,7.88,5,https://jolse.com/category/lipcare/4745/?page=1/product/frudia-pomegranate-honey-3in1-lip-balm-10g/55753/category/4745/display/1/,1
 Petitfee Super Seed Lip Oil 3.5g,18.0,9.36,48,https://jolse.com/category/lipcare/4745/?page=1/product/petitfee-super-seed-lip-oil-35g/16789/category/4745/display/1/,1
 Petitfee Super Volume Lip Oil 3g,18.0,9.72,46,https://jolse.com/category/lipcare/4745/?page=1/product/petitfee-super-volume-lip-oil-3g/18150/category/4745/display/1/,1
 Petitfee Oil Blossom Lip Mask Camelia Seed Oil 15g,18.0,10.08,44,https://jolse.com/category/lipcare/4745/?page=1/product/petitfee-oil-blossom-lip-mask-camelia-seed-oil-15g/11232/category/4745/display/1/,1
 Petitfee Oil Blossom Lip Mask Sea Buckthorn Oil 15g,18.0,10.08,44,https://jolse.com/category/lipcare/4745/?page=2/product/petitfee-oil-blossom-lip-mask-sea-buckthorn-oil-15g/11231/category/4745/display/1/,1
 COSRX Balancium Ceramide Lip Butter Sleeping Mask 20g,22.0,13.49,39,https://jolse.com/category/lipcare/4745/?page=2/product/cosrx-balancium-ceramide-lip-butter-sleeping-mask-20g/70094/category/4745/display/1/,0
 HUECALM VEGAN ESSENTIAL LIP BALM 3.8g,15.0,9.6,36,https://jolse.com/category/lipcare/4745/?page=2/product/huecalm-vegan-essential-lip-balm-38g/65364/category/4745/display/1/,0
 Abib Protective Lip Balm Block Stick 3.3g,10.5,7.35,30,https://jolse.com/category/lipcare/4745/?page=1/product/abib-protective-lip-balm-block-stick-33g/43927/category/4745/display/1/,1
 COSRX Refresh AHA BHA Vitamin C Lip Plumper 20g,22.0,15.4,30,https://jolse.com/category/lipcare/4745/?page=1/product/cosrx-refresh-aha-bha-vitamin-c-lip-plumper-20g/70093/category/4745/display/1/,1
 COSRX Fulll Fit Honey Sugar Lip Scrub 20g,22.0,15.4,30,https://jolse.com/category/lipcare/4745/?page=1/product/cosrx-fulll-fit-honey-sugar-lip-scrub-20g/70096/category/4745/display/1/,1
 COSRX Full Fit Propolis Lip Sleeping Mask 20g,22.0,15.4,30,https://jolse.com/category/lipcare/4745/?page=1/product/cosrx-full-fit-propolis-lip-sleeping-mask-20g/70095/category/4745/display/1/,1
 BONAJOUR Royal Honey Lip Essence 10ml,9.41,7.53,20,https://jolse.com/category/lipcare/4745/?page=2/product/bonajour-royal-honey-lip-essence-10ml/24507/category/4745/display/1/,1
 ILLIYOON Oil Smoothing Lip Balm 13g,12.1,10.16,16,https://jolse.com/category/lipcare/4745/?page=2/product/illiyoon-oil-smoothing-lip-balm-13g/13741/category/4745/display/1/,0
 GLINT Glow Lip Balm 3g,28.0,23.8,15,https://jolse.com/category/lipcare/4745/?page=2/product/glint-glow-lip-balm-3g/71452/category/4745/display/1/,1
 THE FACE SHOP Dr.Belmeur Advanced Cica Touch Lip Balm 5.5g,12.0,10.2,15,https://jolse.com/category/lipcare/4745/?page=2/product/the-face-shop-drbelmeur-advanced-cica-touch-lip-balm-55g/75372/category/4745/display/1/,1
 LANEIGE Lip Sleeping Mask EX 20g,21.9,18.61,15,https://jolse.com/category/lipcare/4745/?page=2/product/laneige-lip-sleeping-mask-ex-20g/40358/category/4745/display/1/,0
 Grafen TRIPLE LIP BALM (HANDSOME) 4.3g,18.0,15.3,15,https://jolse.com/category/lipcare/4745/?page=2/product/grafen-triple-lip-balm-handsome-43g/56706/category/4745/display/1/,1
 FRESHIAN Sensual Vegan Lip Balm 3.3g,28.0,23.8,15,https://jolse.com/category/lipcare/4745/?page=2/product/freshian-sensual-vegan-lip-balm-33g/71284/category/4745/display/1/,1
 2aN Lip Oil 3g #Fall In Hibiscus,14.0,11.9,15,https://jolse.com/category/lipcare/4745/?page=2/product/2an-lip-oil-3g-fall-in-hibiscus/55989/category/4745/display/1/,0
 ONE THING Organic Oil Lip essence 13g,10.9,9.26,15,https://jolse.com/category/lipcare/4745/?page=2/product/one-thing-organic-oil-lip-essence-13g/40660/category/4745/display/1/,0
 TOUN28 L2 Lip Balm 13g,10.8,9.18,15,https://jolse.com/category/lipcare/4745/?page=2/product/toun28-l2-lip-balm-13g/51827/category/4745/display/1/,1
 Grafen TRIPLE LIP BALM (COLOR) 4.3g,18.0,15.3,15,https://jolse.com/category/lipcare/4745/?page=2/product/grafen-triple-lip-balm-color-43g/56708/category/4745/display/1/,1
 TOUN28 L1 Lip Balm 13g,10.8,9.18,15,https://jolse.com/category/lipcare/4745/?page=2/product/toun28-l1-lip-balm-13g/51826/category/4745/display/1/,1
 ATHE Authentic Airy Lip Balm Mini 1.1g,16.0,13.6,15,https://jolse.com/category/lipcare/4745/?page=2/product/athe-authentic-airy-lip-balm-mini-11g/63098/category/4745/display/1/,1
 ATHE Authentic Lip Balm Mini 1.1g,16.0,13.6,15,https://jolse.com/category/lipcare/4745/?page=2/product/athe-authentic-lip-balm-mini-11g/63097/category/4745/display/1/,1
 MIGUHARA Love Vegan Glazed Lip Balm 4g,18.0,15.3,15,https://jolse.com/category/lipcare/4745/?page=2/product/miguhara-love-vegan-glazed-lip-balm-4g/67541/category/4745/display/1/,1
 3CE Plumping Lips 2.4g #Clear,10.8,9.18,15,https://jolse.com/category/lipcare/4745/?page=2/product/3ce-plumping-lips-24g-clear/71812/category/4745/display/1/,1
 IM UNNY Mild Lip Care EX 3.4g,13.0,11.05,15,https://jolse.com/category/lipcare/4745/?page=2/product/im-unny-mild-lip-care-ex-34g/38002/category/4745/display/1/,0
 THE FACE SHOP Dr.Belmeur Advanced Cica Touch Lip Balm 5.5g #Red,12.0,10.2,15,https://jolse.com/category/lipcare/4745/?page=1/product/the-face-shop-drbelmeur-advanced-cica-touch-lip-balm-55g-red/70963/category/4745/display/1/,1
 VEWARE vegan signature lip balm 6.5g,19.2,16.32,15,https://jolse.com/category/lipcare/4745/?page=2/product/veware-vegan-signature-lip-balm-65g/64713/category/4745/display/1/,1
 AMUSE Vegan Green Lip Balm 3.5g,18.0,15.3,15,https://jolse.com/category/lipcare/4745/?page=2/product/amuse-vegan-green-lip-balm-35g/54596/category/4745/display/1/,1
 thim refreshing glow lip balm 2.3g,19.0,16.15,15,https://jolse.com/category/lipcare/4745/?page=1/product/thim-refreshing-glow-lip-balm-23g/66092/category/4745/display/1/,1
 ETUDE Ginger Sugar Essential Lip Balm 15ml,7.0,5.95,15,https://jolse.com/category/lipcare/4745/?page=1/product/etude-ginger-sugar-essential-lip-balm-15ml/67076/category/4745/display/1/,1
 Unleashia Red Pepper Lip Balm 1.9g,15.0,12.75,15,https://jolse.com/category/lipcare/4745/?page=1/product/unleashia-red-pepper-lip-balm-19g/64261/category/4745/display/1/,1
 CNP Laboratory Propolis Lipcerin 15ml™,18.0,15.3,15,https://jolse.com/category/lipcare/4745/?page=1/product/cnp-laboratory-propolis-lipcerin-15ml/74453/category/4745/display/1/,1
 mude Bare Shine Lip Balm 5g,14.0,11.9,15,https://jolse.com/category/lipcare/4745/?page=1/product/mude-bare-shine-lip-balm-5g/55328/category/4745/display/1/,1
 ETUDE Ginger Sugar Lip Balm Stick 3.7g,12.0,10.2,15,https://jolse.com/category/lipcare/4745/?page=1/product/etude-ginger-sugar-lip-balm-stick-37g/62318/category/4745/display/1/,1
 RiRe Bubble Bubble Lip Mask 12ml,8.5,7.22,15,https://jolse.com/category/lipcare/4745/?page=1/product/rire-bubble-bubble-lip-mask-12ml/17638/category/4745/display/1/,1
 Mediheal Pantenolips Scrub 10ml,8.5,11.25,15,https://jolse.com/category/lipcare/4745/?page=1/product/mediheal-pantenolips-scrub-10ml/66506/category/4745/display/1/,1
 ATHE Authentic Airy Lip Balm 3.3g,33.0,28.05,15,https://jolse.com/category/lipcare/4745/?page=1/product/athe-authentic-airy-lip-balm-33g/63020/category/4745/display/1/,1
 KAINE Glow Melting Lip Balm 3.7g,14.0,11.9,15,https://jolse.com/category/lipcare/4745/?page=1/product/kaine-glow-melting-lip-balm-37g/70848/category/4745/display/1/,1
 TPSY Dew Plump Lipcerin 15ml,25.0,21.25,15,https://jolse.com/category/lipcare/4745/?page=1/product/tpsy-dew-plump-lipcerin-15ml/73327/category/4745/display/1/,1
 mude Bare Shine Lip Mask 8g,15.0,12.75,15,https://jolse.com/category/lipcare/4745/?page=1/product/mude-bare-shine-lip-mask-8g/55329/category/4745/display/1/,1
 su:m37 Time Energy Moist Lip Balm,25.0,21.25,15,https://jolse.com/category/lipcare/4745/?page=1/product/sum37-time-energy-moist-lip-balm/49323/category/4745/display/1/,1
 Mediheal Labocare Pantenolips Healssence Coral 10ml,25.0,11.25,15,https://jolse.com/category/lipcare/4745/?page=1/product/mediheal-labocare-pantenolips-healssence-coral-10ml/66515/category/4745/display/1/,1
 CNP Propolis Lip Balm 4g,13.59,11.55,15,https://jolse.com/category/lipcare/4745/?page=1/product/cnp-propolis-lip-balm-4g/52145/category/4745/display/1/,1
 Mediheal Labocare Pantenolips Healssence 10ml,13.59,11.25,15,https://jolse.com/category/lipcare/4745/?page=1/product/mediheal-labocare-pantenolips-healssence-10ml/66508/category/4745/display/1/,1
 ATHE Authentic Lip Balm 3.4g,33.0,28.05,15,https://jolse.com/category/lipcare/4745/?page=2/product/athe-authentic-lip-balm-34g/63019/category/4745/display/1/,1
 The History of Whoo Glow Lip Balm,30.48,25.91,15,https://jolse.com/category/lipcare/4745/?page=2/product/the-history-of-whoo-glow-lip-balm/8256/category/4745/display/1/,0
 rom&nd LIP MATTER 8g,12.0,10.44,13,https://jolse.com/category/lipcare/4745/?page=2/product/romnd-lip-matter-8g/63398/category/4745/display/1/,1
 mixsoon Vegan Plumping Glow Balm 3.5g,22.0,19.8,10,https://jolse.com/category/lipcare/4745/?page=2/product/mixsoon-vegan-plumping-glow-balm-35g/74067/category/4745/display/1/,1
 Dr.Ceuracle Vegan Kombucha Tea Lip Balm 3.7g,9.99,8.99,10,https://jolse.com/category/lipcare/4745/?page=1/product/drceuracle-vegan-kombucha-tea-lip-balm-37g/47043/category/4745/display/1/,1
 belif Super Knights Multi Vitamin Lipcerin 15ml,25.0,22.5,10,https://jolse.com/category/lipcare/4745/?page=2/product/belif-super-knights-multi-vitamin-lipcerin-15ml/72136/category/4745/display/1/,1
